"DEST_OBJECT_TYPE","ORIG_OBJECT_TYPE"
"automatic_lookup","fields_lookup"
"calculated_field","fields_calc"
dashboard,"ui_view"
"data_model_definition","data_model_file"
"event_type","event_type"
"field_alias","fields_alias"
"field_extraction","fields_extract"
"field_transformation","fields_transform"
"fileds_workflow_action","fields_workflow_action"
"lookup_table_file","lookup_table"
"navigation_menu","ui_view_collection"
"prebuilt_panel","ui_panel"
"saved_search","saved_search"
"search_command",command
"search_macro",macro
"source_type_rename","fields_srctype_rename"
tag,tag
user,user
